QueryText,KccAns
pod borer,POISION BAIT:RICE BRAN 5 Kg +MOLASES (JAGGERY) 500 GRAMS +CARBARYL 500 GRAMS/CHLORPYRIFOS 500 ML WATER 2  LITRES MIX THE INGREDIENTS WELL  & ARE KEPT AROUND THE FIELD IN THE EVENING HOUR
WEATHER REPORT,CLOUDY WEATHER  OCCURS IN YOUR AREA
GROUND TIKKA LEAF SPOT MANAGEMENT,GROUND TIKKA LEAF SPOT MANAGEMENT : recommended spray azoxystrobin 200ml/acre in 200 lit of water
sucking peast in cotton,RECOMMENDED TO SPRAY DIMETHOATE  400ML /200 LITRES OF WATER /ACRE
weather report,no rain  mostly sunny
MAIZE NUTRIENT MANAGEMENT,MAIZE NUTRIENT MANAGEMENT : RECOMMENDED TO SPRAY AGROMINMAX 1 KG PER ACRE
WEATHER  REPORT,Mostly cloudy in your area
WEATHER REPORT,TODAY A MODERATE THUDERSTROM  IS LIKELY TO TAKE PLACE IN YOUR AREA
WEATHER REPORT IN KALATURU,WEATHER REPORT IN KALATURU:Delightful with sunshine and a few clouds
RIDGE GUARD WHITE FLY MANAGEMENT,RECOMMENDED TO SPRAY ACEPHATE 1.5 GRAM / LITER WATER
WEATHER REPORT IN PONNEKALLU,WEATHER REPORT IN PONNEKALLU: Partly sunny and nice
WEATHER REPORT:,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
CHILLI DIE BACK AND FRUIT ROT MANAGEMENT,RECOMMENDED TO SPRAY  DIFENOCONAZOLE   100 ML /200 LITRES OF WATER /ACRE
weather report,no rain pleasant weather
ZINC DEFICIENCY IN MAIZE,RECOMMENDED TO SPRAY  ZINC SULPHATE 2 GRAM / LITER WATER
WEATHER REPORT,CLOUDY WEATHER  OCCURS IN YOUR AREA
WEATHER REPORT IN KANIGIRI,WEATHER REPORT IN KANIGIRI: Pleasant with partial sunshine
GROUNDNUT NUTRIENT MANAGEMENT,GROUNDNUT NUTRIENT MANAGEMENT: RECOMMENDED TO APPLY UREA 10 KILO PER ACRE
COTTON MARKET RATE,"MINIMUM;4600/-,MAXIMUM;	5150/-- PER QUINTAL"
WEATHRE REPORT,WEATHRE REPORT: Today there is no chance of rainfall in your area
upward curling in chilli,RECOMMENDED TO SPRAY ACEPHATE 300 GRAMS/ 200 LITRES OF WATER / ACRE
WEATHER REPORT,weather information : Today there is no chance of rainfall in your area
GROUNDNUT PEA NUT  BUD NECROSIS MANAGEMENT,RECOMMENDED TO SPRAY PIPRONIL 400 MILLI LITER / ACRE
EARLY BLIGHT IN TOMATO,RECOMMENDED TO SPRAY MANCOZEB   600 GRAMS / 200 LITERS OF WATER / ACRE
WEATHER REPORT,CLOUDY WEATHER  OCCURS IN YOUR AREA
WEATHER REPORT,CLOUDY WEATHER  OCCURS IN YOUR AREA
SUCKING PEST IN PEARL MILLET,RECOMMENDED TO SPRAY AZADIRHACHTIN ( NEEM SEED KERNAL OIL )  1 LITRE  /200 LITRES OF WATER /ACRE
tuberose nutrient management,Recommended Foliar spray ofZnSO4 0.5% + FeSO4 0.2% + Boric acid 0.1%.per lit water
weather report,partial sunshine
CHILLY THRIPS MANAGEMENT,RECOMMENDED TO SPRAY DIFENTHIURON   300 GRAMS/200 LITRES OF WATER /ACRE
WEATHER REPORT,TODAY RAIN IS NOT OCCUR IN YOUR AREA
NUTRIENT MANAGEMENT IN MAIZE,RECOMMENDED TO SPRAY AGROMIN MAX 1 KG/1 LITRE OF WATER
GROUND NUT LEAF SPOT,GROUND NUT LEAF SPOT : RECOMMENDED TO SPRAY CHLOROTHALONIL 400 GRAMS / ACRE
WEATHER INFORMATION,"WEATHER INFORMATION : CLOUDY WEATHER ,LESS CHANCE OF RAIN IN YOUR AREA"
chilli fruit rot management,RECOMMENDED TO SPRAY PROPICONAZOLE    200 ML / 200 LITERS OF WATER /ACRE
tomato fruit borer,RECOMMENDED TO SPRAY SPINOSAD 75 ML/200 LITRES OF WATER / ACRE
MAIZE POST EMERGENCY WEED MANAGEMENT,RECOMMENDED TO SPRAY ATRAZINE 1200 GRAMS PER ACRE
WEATHER INFORMATION :,"DRY WEATHER , LESS CHANCE OF RAIN IN YOUR AREA"
paddy brown plant hopper management,RECOMMENDED TO SPRAY DINOTEFURAN 80 GRAMS/ACRE
weather report,no rain your area cloudy weather occur
CHILLI MIDGE,"RECOMMENDED TO SPRAY TRIAZOPHOS 300 ML /200 LITERS OF WATER / ACRE 
 RECOMMENDED TO SPRAY  CHLORPYRIFOS  500 ML/200 LITERS OF WATER / ACRE"
proper growth in maize,RECOMMENDED TO SPRAY  potassium nitrate (13-0-45)  1 KG/ACRE IN 200 LT WATER
MANGO FLOWER DROP MANAGEMENT,recommended to spray Naphthalene  Acetic Acid   4.5 ml/20 litre
weather report,no rain your area cloudy weather occur
WEATHER REPORT,THERE IS NO CHANCE TO RAINFALL IN YOUR AREA
chilli nutrient management,recommended to spray 13-0-45 one kg per acre
paddy panicle mite management,"RECOMMENDED TO SPRAY PROFENOFOS 400 ML/200 LITERS OF WATER /  ACRE   or
RECOMMENDED TO SPRAY DICOFOL 1 LITER /200 LITERS OF WATER /ACRE"
weather report,THERE IS NO CHANCE TO RAINFALL IN YOUR AREA
cashew leaf blight management,RECOMMENDED TO SPRAY CARBENDAZIM 1gm + imidaclopid 05 ml /lit of water
WEATHER REPORT,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
GROUNDNUT FERTILIZER MANAGEMENT,"GROUNDNUT FERTILIZER MANAGEMENT : RECOMMENDED FOR APPLY UREA 20 KG, MOP 30 KG/ ACRE"
CHILLI BACTERIAL LEAF SPOT,RECOMMENDED  TO SPRAY COPPER OXY CHLORIDE  600 GRAMS   +   STREPTOCYCLINE   20 GRAM  / 200 LITERS OF WATER /ACRE
WEATHER REPORT,Mostly cloudy
weather report,no rain in your area cloudy weather occur
WEATHER REPORT,"WEATHER REPORT : CLOUDY WEATHER , CHANCE OF  SHOWERS IN YOUR AREA"
pod borer management in brinjal,POISION BAIT:RICE BRAN 5 Kg +MOLASES (JAGGERY) 500 GRAMS +CARBARYL 500 GRAMS/CHLORPYRIFOS 500 ML WATER 2  LITRES MIX THE INGREDIENTS WELL  & ARE KEPT AROUND THE FIELD IN THE EVENING HOURS
sucing pest in blackgram,RECOMMENDED TO SPRAY ACEPHATE 300 GRAMS/ 200 LITERS OF WATER / ACRE
weather report,no rain your area cloudy weather occur
contact veternary doctor,"contact veternary doctor:
8790997453 AP"
chilli mite damage,RECOMMENDED TO SPRAY DIFENTHIURON   300 GRAMS/200 LITRES OF WATER /ACRE
weather report,weather report : Pleasant with periods of clouds and sunshine
weather report,weather report : Pleasant with periods of clouds and sunshine
weather report,no rain rain your area cloudy weather occur
market price for black grams,market price for black grams per quintal was around 9000 to 10000 rupees
weather report,Cloudy; a shower in spots in the morning followed by a heavy shower in the afternoon
WEATHER REPORT,TODAY A MODERATE THUNDERSTORM  IS LIKELY TO TAKE PLACE IN YOUR AREA
GROUND NUT TOBACCO CATERPILLAR,RECOMMENDED TO SPRAY  NOVALURON+INDOXACARB  350 ML / 200 LITRES OF WATER / ACRE
rice blast in paddy,RECOMMENDED TO SPRAY TRICYCLAZOLE + MANCOZEB  400 GRAMS/200 LITERS OF WATER /ACRE
BLACK GRAM RUST,BLACK GRAM RUST  ; RECOMMENDED TO SPRAY MANCOZEB 3GR + DINOCAP 1ML/LITER WATER
virus in papaya,RECOMMENDED TO SPRAY SPIROMESIFEN  200ML /200 LITERS OF WATER /ACRE
GROUND NUT FERTILISER MANGEMENT,RECOMMENDED TO APPLY UREA 9 KG AT FIRST FLOWERING STAGE
BLACKGRAM AHIDS,BLACKGRAM AHIDS : SPRAY THIOMETHAXIM 40 GRAMS PER ACRE
PADDY GALL MIDGE,RECOMMENDED TO APPLY CARBOFURAN 3 G  GRANULES  8-10 KG /ACRE
weather information,weather information : Today there  is no chance of rainfall in your area
weed management in paddy,NOT RECOMMENDED
BLACK GRAM LEAF EATING CATERPILLAR,RECOMMENDED TO SPRAY  CHLORPYRIFOS  500 ML/200 LITRES OF WATER / ACRE
LEAF MINEAR IN CUCUMBER,RECOMMENDED TO SPRAY  OXYDEMETON-METHYL  400 ML/  200 LITRES OF WATER /ACRE
sucking pests on water melon,RECOMMENDED TO SPRAY ACEPHATE 300 GRAMS/ 200 LITERS OF WATER / ACRE
GROUNDNUT TIKKA LEAF SPOT CONTROL,RECOMMENDED TO SPRAY CHLOROTHALONIL 400 GRAMS / ACRE
ground nut leaf spot management,"ground nut leaf spot management : 
RECOMMENDED TO SPRAY CHLOROTHALONIL 400 GRAMS / ACRE   or 
RECOMMENDED TO SPRAY  HEXACONAZOLE   400 ML /200 LITERS OF WATER / ACRE"
GROUNDNUT LEAF EATING CATERPILLAR MANAGEMENT,RECOMMENDED TO SPRAY CHLORIPYRIPHOS 500 ML/Acre
weather report,no rain your area cloudy weather occur
CHILLI THRIPS,RECOMMENDED TO SPRAY SPINOSAD 75 ML/200 LITERS OF WATER / ACRE
BLACK GRAM FLOWER DROP MANAGEMENT,recommended to spray Naphthalene  Acetic Acid 4.5 ml/20 litre
REDGRAM MARKET RATE,REDGRAM MARKET RATE: MINIMUM PRICE 7750 MAXIMUM PRICE 7850
CHILI WILT,RECOMMENDED TO SPRAY PROPICONAZOLE 200 ML PER ACRE
WEATHER REPORT,NO RAINS ARE THERE IN YOUR AREA
weather report,no rain your area cloudy weather occur
weed management in black gram,turga super 400ml/acre
weather report,no rain your area cloudy weather occur
RED GRAM MARKET INFORMATION,"RED GRAM MARKET INFORMATION : kurnool
MINIMUM PRICE - 5700/- Rs/ QUINTAL  
MAXIMUM PRICE - 5900/- Rs/ QUINTAL"
TRIPS MANAGEMENT,TRIPS MANAGEMENT : RECOMMENDED TO SPRAY  FIPRONIL  400 ML / 200 LITRES OF WATER /ACRE
WEED MANAGEMENT,RECOMMENDED TO SPRAY IMAZITAPYR  300- 400 ML/200 LITRES OF WATER  PER ACRE
chilli upward curling,recommended to acephate 1.5 gr/lit of water wit neem oil
cotton market information,cotton market information : 5000 - 5200/- Rs/qtl
CHILLI MIDGE CONTROL,RECOMMENDED TO SPRAY TRIAZOPHOS 300 ML /200 LITRES OF WATER / ACRE
mango leaf hopper,RECOMMENDEDTO SPRAY DIMETHOATE(ROGAR   ROGARIN)  400ML/ACRE
COTTON MARKET INFORMATION,COTTON MARKET INFORMATION : MINIMUM 4550 - MAXIMUM 5100
MANGO LEAF HOPPER MANAGEMENT,MANGO LEAF HOPPER MANAGEMENT : RECOMMENDED TO SPRAY DIMETHOATE  400ML /200 LITRES OF WATER /ACRE
weed management in black,NOT RECOMMENDED
weather report,weather report : sunny weather
CHILLI NUTRIENT DEFICIENCY MANAGEMENT,RECOMMENDED TO SPRAY 19-19-19 KG/ACRE IN 200 LITER WATER
Bangalore DRY CHILLI MARKET INFORMATION,"Bangalore DRY CHILLI MARKET INFORMATION 
MINIMUM PRICE 12000/QUINTAL ;
MAXIMUM PRICE 20000/QUINTAL"
weather report,THERE IS NO CHANCE TO RAINFALL IN YOUR AREA
WEATHER REPORT,THERE IS NO CHANCE TO RAINFALL IN YOUR AREA
weather report,no rain your area cloudy weather occur
WEATHER REPORT,THERE IS NO CHANCE TO RAINFALL IN YOUR AREA
WEATHER REPORT,THERE IS NO CHANCE TO RAINFALL IN YOUR AREA
weather report,no rain your area cloudy weather occur
MUSK MELON GROW THING MANAGEMENT,RECOMMENDED TO SPRAY 13-0-45 1KG/ACRE IN 200 LT WATER
weather report,no rain your area cloudy weather occur
NUTRIENT MANAGEMENT IN CHILLI,RECOMMENDED TO SPRAY 13-0-45 ONE KG PER ACRE
CHILLI NUTRIENT MANAGEMENT,RECOMMENDED TO SPRAY 13-0-45 ONE KG PER ACRE
CHILLI NUTRIENT MANAGEMENT,RECOMMENDED TO SPRAY 13-0-45 ONE KG PER ACRE
LEAF VEGETABLE WEED MANAGEMENT,RECOMMENDED TO SPRAY PENDIMETHALIN 1-1.25 LITRE/ACRE
NUTRIENT management in chilly,Spray 13;0;45 multi K
NUTRIENT MANAGEMENT IN PADDY,recommended to spray ferrous sulfate  20 grams per litre
green gopprr in groundnut,"RECOMMENDED TO SPRAY MONOCROTOPHOS 400 ML /200 LITERS OF WATER /ACRE 
??????????????  400  ?????? ???????  /200 ?????? ?????? ??????? ????? ?? ?????? ???????? ??????"
weed management in maize,"RECOMMENDED TO SPRAY ATRAZINE(ATRATOP , SOLARO ) 800 GRAMS PER ACRE"
weather report,no rain your area cloudy weather occur
weed management in sugarcane,recommended to sprayAtrazin 2kg /450 lit of water
CHILLI BACTERIAL L;EAF SPOT,RECOMMENDED  TO SPRAY COPPER OXY CHLORIDE  600 GRAMS   +   STREPTOCYCLINE   20 GRAM  / 200 LITRES OF WATER /ACRE
WEATHER REPORT:,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
weather report,weather report : there is no rain your area
CHILLY MIDGE DAMAGE,RECOMMENDED TO SPRAY TRIAZOPHOS 300 ML /200 LITRES OF WATER / ACRE
WEATHER REPORT,today there is no chance of rainfall in your area
weather report,weather report :   today there is no chance of rain fall in your area
ground nut root rot management,"RECOMMENDED TO SPRAY CARBENDAZIM   200  GRAMS/  200 LITRES OF WATER /ACRE   

RECOMMENDED TO SPRAY MANCOZEB   600 GRAMS / 200 LITRES OF WATER / ACRE"
weather report,THERE IS NO CHANCE TO RAINFALL IN YOUR AREA
fingermillet blast managemaent,fingermillet blast managemaent ;RECOMMENDED TO SPRAY CARBENDAZIM   200  GRAMS/  200 LITRES OF WATER /ACRE
ROOT ROT IN GROUND NUT,RECOMMENDED TO SPRAY COPPER OXY CHLORIDE  600  GM /200 LITRES OF WATER / ACRE
black gram yellow mosaic virus,recommended to spray triazophos 300 ml/acre
weather report,THERE IS NO CHANCE TO RAINFALL IN YOUR AREA
cotton MARKET INFORMATION  :,"MARKET INFORMATION  : 
MINIMUM PRICE -4269 /- Rs/ QUINTAL  
MAXIMUM PRICE -5509 /- Rs/ QUINTAL"
RED GRAM MARKET  RATE,RED GRAM MARKET  RATE ; 4398/Q
Paddy gall midge management,RECOMMENDED TO APPLY CARBOFURAN 3 G  GRANULES  8-10 KG /ACRE
CHILLI POWDERY MILDEW MANAGEMENT,RECOMMENDED TO SPRAY WETTABLE SULPHOR 3GRAM / LITER WATER
MUSKMELON SUCKING PEST CONTROL,RECOMMENDED TO SPRAY AZADIRHACHTIN ( NEEM SEED KERNAL OIL )  1 LITER /200 LITRES OF WATER /ACRE
CHILLI POWDERY MILDEW MANAGEMENT,RECOMMENDED TO SPRAY DINOCAP  200 MILLI LITER / ACRE
market price for ground nut,market price for ground nut per quintal was around 2200 to 5300 rupees
MUSK MELON BORAN  DEFICIENCY MANAGEMENT,RECOMMENDED TO SPRAY  BORAN  2 GRAM / LITER WATER
AGRICULTURE RELATED APPS,RECOMMENDED TO DOWNLOAD KISAN SUVIDHA APP
WEATHER REPORT,THERE IS NO CHANCE TO RAINFALL IN YOUR AREA
powedry mildew in chilli,RECOMMENDED TO SPRAY DINOCAP  200 ML /200 LITERS OF WATER / ACRE
WEED management in paddy,RECOMMENDED TO SPRAY PYRAZOSULFURAN ETHYL  80-100 GRAMS PER ACRE
sucking pests management in tobacco,sucking pests management in tobacco :RECOMMENDED TO SPRAY IMIDACLOPRID 60 ML /200 LITERS OF WATER / ACRE
frurit cracking  in muskmelon,suggesed to stop irrigation
false smut in paddy,RECOMMENDED TO SPRAY PROPICONAZOLE 200 ML PER ACRE
WATERMELON APHIDS MANAGEMENT,RECOMMENDED TO SPRAY DIMETHOATE  400 ML /200 LITRES OF WATER /ACRE
weed management in paddy,"RECOMMENDED TO SPRAY BUTACHLOR(BILCHLOR, MACHET)  ONE LITRE PER ACRE"
CHILLI POWDERY MILDEW,RECOMMENDED TO SPRAY DINOCAP  200 ML /200 LITRES OF WATER / ACRE
WEATHER REPORT,TODAY A RAIN NOT  IS LIKELY TO TAKE PLACE IN YOUR AREA
CHILLY MIDGE FLY DAMAGE,RECOMMENDED TO SPRAY TRIAZOPHOS 300 ML /200 LITRES OF WATER / ACRE
weather report,THERE IS NO CHANCE OF RAIN IN YOUR PLACE
tobacco caterpillar management in bengalgram,tobacco caterpillar management in bengalgram : RECOMMENDED TO SPRAY EMAMECTIN BENZOATE  90 GRAMS /200 LITERS OF WATER / ACRE
WEATHER REPORT,A full day of sunshine
WEATHER REPORT:,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
WEATHER REPORT:,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
leaf folder management in paddy,leaf folder management in paddy :RECOMMENDED TO APPLY CARBOFURAN 3 G  GRANULES  8-10 KG /ACRE
paddy fertilizer managemnt,recommended to apply urea 40-45 kg/acre + potash 25kg/acre
CERCOSPORA LEAF SPOT MANAGEMENT IN BLACKGRAM,CERCOSPORA LEAF SPOT MANAGEMENT IN BLACKGRAM : RECOMMENDED TO SPRAY COPPER OXY CHLORIDE  600  GM /200 LITRES OF WATER / ACRE
GROUNDNUT POST EMERGENCY WEED MANAGEMENT,RECOMMENDED TO SPRAY IMAZITAPYR 300- 400 ML PER ACRE
ROOT ROT MANAGEMENT IN CITRUS,ROOT ROT MANAGEMENT IN CITRUS: RECOMMENDED TO SPRAY COPPER OXY CHLORIDE  600  GM /200 LITRES OF WATER / ACRE
management of chilli fruit rot,RECOMMENDED TO SPRAY PROPICONAZOLE    200 ML / 200 LITRES OF WATER /ACRE
weather report,today there is no chance of rain fall in your area
weather report,mostly cloudy and not seems to be rained
leaf blight in chilli,RECOMMENDED TO SAFF 400 GRAMS PER ACRE
chilli bactrial leaf spot,chilli bactrial leaf spot ;RECOMMENDED  TO SPRAY COPPOR OXY CHLORIDE  600 GRAMS   +   STREPTOCYCLINE   20 GRAM  / 200 LITERS OF WATER
root rot management in blackgram,root rot management in blackgram :RECOMMENDED TO SPRAY COPPER OXY CHLORIDE  600  GM /200 LITRES OF WATER / ACRE
ZINC DEFICIENCY MANAGEMENT,"RECOMMENDED TO SPRAY  ZINC SULPHATE  2 GRAMS + UREA 5 GRAMS  / 1 LITRE OF WATER
 ??????????"
black gram pod borer management,RECOMMENDED TO SPRAY CHLORANTRANILIPROLE 60 ML/200 LITRES OF WATER / ACRE
papaya powdery mildew management,papaya powdery mildew management;RECOMMENDED TO SPRAY DINOCAP  200 ML /200 LITERS OF WATER / ACRE
varities of ridge gourd,"varities of ridge gourd : jagityal long, jaipur long,arka sujatha ,"
SUMMER SUITABLE CROPS,"SUMMER SUITABLE CROPS : BLACK GRAM , GREEN GRAM, BAJRA , JOWAR , SESAME, SUNFLOWER ,VEGETABLES ETC"
WEATHER REPORT,Nice with plenty of sunshine
weather report:,weather report:Today there is no chance of rainfall in your area
weather report,Intervals of clouds and sun
WATER MELON LEAF SPOT,Recommended to spray Carbendazim +Mancozeb 400 gr/acer
BACTERIAL LEAF SPOT IN BLACK GRAM,RECOMMENDED TO SPRAY COPPER OXY CHLORIDE  600  GM /200 LITERS OF WATER / ACRE
WEATHER REPORT:,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
weather information,Pleasant with periods of clouds and sun
DRY CHILLI MARKET INFORMATION,"DRY CHILLI MARKET INFORMATION:  
MINIMUM PRICE - 5000/- Rs/ QUINTAL  
MAXIMUM PRICE - 12300/- Rs/ QUINTAL"
ROOT ROT MANAGEMENT,ROOT ROT MANAGEMENT : RECOMMENDED  TO DRENCH  COPPER OXY CHLORIDE  3 GRAMS / 1 LITRE OF WATER
citrus aphid management,RECOMMENDED TO SPRAY DIMETHOATE  400 ML /200 LITRES OF WATER /ACRE
bengalgram tobacco caterpillar management,bengalgram tobacco caterpillar management : RECOMMENDED TO SPRAY ACEPHATE 300 GRAMS/ 200 LITERS OF WATER / ACRE
ground nut leaf folder,RECOMMENDED TO SPRAY  CHLORPYRIFOS  500 ML/200 LITRES OF WATER / ACRE
bitter guard fruit fly management,bitter guard fruit fly management : ??RECOMMENDED TO SPRAY TRIAZOPHOS 300 ML /200 LITERS OF WATER / ACRE
leaf spots in tomato,RECOMMENDED TO SPRAY AZOXYSTROBIN  150 ML /200 LITRES OF WATER /ACRE
weather report,THERE IS NO CHANCE OF RAIN IN YOUR PLACE
WEATHER REPORT,WEATHER REPORT : today there is no chance of rain fall in your area
sucking pest in chilli,RECOMMENDED TO SPRAY ACEPHATE 300 GRAMS/ 200 LITRES OF WATER / ACRE
CHILLY LEAF SPOT MANAGEMENT,CHILLY LEAF SPOT MANAGEMENT : RECOMMENDED FOR SPRAY MANCOZEB 3 GRAMS/ 1 LITER OF WATER
weather report,weather report : THERE IS NO CHANCE TO RAINFALL IN YOUR AREA
weather report,THERE IS NO CHANCE OF RAIN IN YOUR PLACE
WEATHER REPORT,WEATHER REPORT : NO RAIN AND CLOUDY WEATHER IN YOUR AREA
maize post emergence weed management,maize post emergence weed management : RECOMMENDED TO SPRAY ATRAZINE 800 GRAMS PER ACRE
weather report,mostly cloudy weather in your area
weather report,no rain your area cloudy weather occur
weather report,no rain your area cloudy weather occur
weather report,weather report : THERE IS NO CHANCE TO RAINFALL IN YOUR AREA
weather report,THERE IS NO CHANCE OF RAIN IN YOUR PLACE
tomato nutrient management,recommended to spray 13-0-45 one kg per acre
WEATHER REPORT,NO RAIN YOUR AREA CLOUDY WEATHER REPORT
weather report,no rain your area cloudy weather occur
weather report:,weather report:Today there is no chance of rainfall in your area
WEATHER REPORT,:NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
weather report:,today there is no chance of rainfall in your area
weather report,weather report :   today there is no chance of rain fall in your area
BLACK SPOTS ON CUSTARD APPLE,BLACK SPOTS ON CUSTARD APPLE: RECOMMENDED TO SPRAY MANCOZEB   600 GRAMS / 200 LITRES OF WATER / ACRE
faba bean aphid:,faba bean aphid:RECOMMENDED TO SPRAY IMIDACLOPRID 100 ML /200 LITRES OF WATER / ACRE
CHILLI FRUITROT,CHILLI FRUITROT: RECOMMENDED TO SPRAY DIFENCONAZLE 100 ML PER ACRE
CHILLI MIDGE FLY,RECOMMENDED TO SPRAY  carbosulfan 300 ML/ACRE
CHILLI MARKET RATE,CHILLI MARKET RATE: MINIMUM PRICE 5000 MAXIMUM PRICE 11100
ground nut collar rot,RECOMMENDED TO SPRAY  HEXACONAZOLE   400 ML /200 LITRES OF WATER / ACRE
BENGALGRAM ROOTROT,BENGALGRAM ROOTROT: RECOMMENDED TO SPRAY COPPEROXYCHLORIDE 3 GRAM PER LITRE WATER
WEATHER REPORT,WEATHER REPORT:   today there is no chance of rain fall in your area
Chilakaluripet bengal gram market rate,"Chilakaluripet bengal gram market rate : 16/01/2017
minimum = 9300	maximum = 9500	 average = 9400 rs / quintal"
WEATHER REPORT,Partly sunny with a passing shower
CHILLI MARKET INFORMATION,"CHILLI MARKET INFORMATION  : GUNTUR
MINIMUM PRICE - 5000/- Rs/ QUINTAL  
MAXIMUM PRICE - 12300/- Rs/ QUINTAL"
weather report,no rain your area cloudy weather occur
paddy iron deficiency,RECOMMENDED TO SPRAY ZINC SULPHATE 2 GR/1 LITRE OFWATER
fertilizer management in muskmelon:,fertilizer management in muskmelon:recommended 13-0-45 kg/acre
weather report:,Partly sunny with a shower or thunderstorm
chili leaf curling management,RECOMMENDED TO SPRAY IMIDACLOPRID 60 ML /200 LITRES OF WATER / ACRE
weather report,no rain your area cloudy weather occur
WEATHER REPORT,THERE IS NO CHANCE TO RAINFALL IN YOUR AREA
BENGAL FERTILIZERS MANAGEMNT,Recommended to spray Multi K (13-0-45) 1 kg/acre
weather report:,weather report: Today there is no chance of rainfall in your area
SESAME SOWING TIME,RECOMMENDED SESAME SOWING TIME ;  DECEMBER -15 TO JANUARY 15
weather report:,weather report: Today there is no chance of rainfall in your area
WEATHER REPORT,TODAY THE RAIN IS NOT LIKELY TO TAKEPLACE IN YOUR AREA
chilli bactrial leaf spot ;,chilli bactrial leaf spot ;recommended to spray copper oxy chloride 30gr+streptocycln 1gr 10 liter water
WEATHER REPORT,"weather report:
today there is no chance of rainfall in your area"
WEATHER REPORT,THERE IS NO CHANCE TO RAINFALL IN YOUR AREA
weed management in maize:,"weed management in maize: 
RECOMMENDED TO SPRAY ATRAZINE (ATRATOP , SOLARO ) 800 GRAMS/200 LITRES OF WATER  PER ACRE"
LEAF FOLDER DAMAGE IN PADDY,RECOMMENDED TO SPRAY CARTAP HYDROCHLORIDE 400 GRAMS/ 200 LITRES OF WATER / ACRE
WEATHER REPORT,Partly sunny with a shower or thunderstorm
rice brown spot:,rice brown spot:RECOMMENDED TO SPRAT   HEXACONAZOLE+ZINEB   500  GRAMS / 200 LITRES OF WATER /ACRE
weather report,no rain your area cloudy weather occur
MARKET INFORMATION OF COTTON,ADILABAD MARKET INFORMATION  : RECOMMENDED TO MARKET INFORMATION OF COTTON  MINIMUM PRICE -5306/- MAXIMUM PRICE - 5360/-PER QUINTAL
PADDY  FERTILIZER MANAGEMENT,RECOMMENDED PADDY FERTILIZER 1 BAG DAP 32 KG UREA 12 KG POTASH .
BHENDI POWDERY MILDEW CONTROL,RECOMMENDED TO SPRAY  Azoxystrobin 150 ml / acre in 200 liter water
paddy false smut management,"RECOMMENDED TO SPRAY PROPICONAZOLE    200 ML / 200 LITERS OF WATER /ACRE 
 RECOMMENDED TO SPRAY CARBENDAZIM   200  GRAMS/  200 LITERS OF WATER /ACRE"
WEED MANAGEMENT IN WATER MELON:,WEED MANAGEMENT IN WATER MELON:RECOMMENDED PENDIMETHALIN 1LITER /ACRE
CHILLI POWDERY MILDEW MANAGEMENT:,CHILLI POWDERY MILDEW MANAGEMENT:RECOMMENDED MYCLOBUTANIL 100GRM/ACRE
WEATHER REPORT:,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
black gram thrips damagement,black gram thrips damagement ;RECOMMENDED TO SPRAY  carbosalfon   400 ML/ 200 LITERS OF WATER /ACRE
